Language_en,Language_native
Romanian ,limba română 
Russian ,русский язык 
Kinyarwanda ,Ikinyarwanda 
Sanskrit,संस्कृतम् 
Sardinian ,sardu 
Sindhi ,"सिन्धी, سنڌي، سندھی‎ "
Sami ,Davvisámegiella 
Sango ,yângâ tî sängö 
Sinhala,සිංහල 
Slovak ,"slovenčina, slovenský jazyk "
Slovene ,"slovenski jezik, slovenščina "
Samoan ,gagana fa'a Samoa 
Shona ,chiShona 
Somali ,"Soomaaliga, af Soomaali "
Albanian ,gjuha shqipe 
Serbian ,српски језик 
Swati ,SiSwati 
Sotho ,Sesotho 
Sundanese ,Basa Sunda 
Swedish ,Svenska 
Swahili ,Kiswahili 
Tamil ,தமிழ் 
Telugu ,తెలుగు 
Tajik ,"тоҷикӣ, toğikī, تاجیکی‎ "
Thai ,ไทย 
Tigrinya ,ትግርኛ 
Turkmen ,"Türkmen, Түркмен "
Tagalog ,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔ "
Tswana ,Setswana 
Tonga,faka Tonga 
Turkish ,Türkçe 
Tsonga ,Xitsonga 
Tatar ,"татар теле, tatar tele "
Twi ,Twi 
Tahitian ,Reo Tahiti 
Uyghur,"Uyƣurqə, ئۇيغۇرچە‎ "
Ukrainian ,українська мова 
Urdu ,اردو 
Uzbek ,"O‘zbek, Ўзбек, أۇزبېك‎ "
Venda ,Tshivenḓa 
Vietnamese ,Tiếng Việt 
Volapük ,Volapük 
Walloon ,walon 
Wolof ,Wollof 
Xhosa ,isiXhosa 
Yiddish ,ייִדיש 
Yoruba ,Yorùbá 
Zhuang Chuang,"Saɯ cueŋƅ, Saw cuengh "
Chinese ,"中文 (Zhōngwén), 汉语, 漢語 "
Zulu ,isiZulu 
